mega_group,kind,series_code,episodes,section,title,media_type,minutes,place_name,year,future_path
01,series,LO61T1-12,12,1A,The mind must be totally empty to see something new,audio,870,London,1961,
01,series,LO65D1-6,6,1A,"To live in the present, time must come to an end",audio,523,London,1965,
01,series,LO69T1-4,4,1A,"Without freedom from the known, the possible cannot be captured",audio,352,London,1969,
01,series,BR69T1-4,6,1A,D1-2 Understanding ourselves,audio,446,Brockwood Park,1969,
01,series,BR70T1-4,6,1A,D1-2 Is there an observation without the ‘me’ as the observer?,audio,472,Brockwood Park,1970,
01,series,BR71T1-4,6,1A,D1-2 Meditation is the total release of energy,audio,482,Brockwood Park,1971,
01,series,BR72T1-4,6,1A,D1-2 Can there be complete freedom from thought?,audio,493,Brockwood Park,1972,
01,series,BR73T1-4,6,1A,D1-2 What relationship has the human mind to the timeless?,audio,504,Brockwood Park,1973,
01,series,BR74T1-4,6,1A,D1-2 Religion is the gathering of our total energy,audio,528,Brockwood Park,1974,
01,series,BR75T1-4,6,1A,D1-2 What is correct action in a disintegrating world?,audio,490,Brockwood Park,1975,
01,series,BR76T1-4,6,1A,"D1-2 Can a human being undergo a deep, radical transformation?",video,452,Brockwood Park,1976,
01,series,BR77T1-4,6,1A,D1-2 There is an ending to sorrow when there is no ‘me’,video,410,Brockwood Park,1977,
01,series,BR78T1-4,6,1A,D1-2 The movement of desire,video,478,Brockwood Park,1978,
01,series,BR79T1-4,6,1A,Q1-2 On being conditioned,video,429,Brockwood Park,1979,
01,series,BR80T1-4,6,1A,Q1-2 Why does the mind live in time?,video,460,Brockwood Park,1980,
01,series,BR81T1-4,6,1A,Q1-2 Our consciousness is the common ground on which all,video,460,Brockwood Park,1981,
01,series,LO82T1-2,2,1A,"London Talks, 1982","audio,video",147,London,1982,
01,series,BR82T1-4,6,1A,Q1-2 A different kind of intelligence,video,453,Brockwood Park,1982,
01,series,BR83T1-4,6,1A,Q1-2 The world of peace,video,481,Brockwood Park,1983,
01,series,BR84T1-4,6,1A,Q1-2 The ending of sorrow,video,472,Brockwood Park,1984,
01,series,BR85T1-4,6,1A,Q1-2 Facing a world in crisis,video,451,Brockwood Park,1985,
01,series,MA61T7-8,2,1B,Death and the religious mind,audio,117,Madras (Chennai) (Chennai),1961,
01,series,ND62T1-8,9,1B,D1-2 A complete revolution of the mind,audio,516,New Delhi,1962,
01,series,ND66T1-4,4,1B,A total revolution of the mind,audio,297,New Delhi,1966,
01,series,ND67T1-5,5,1B,To find out what love is one must die to the past,audio,376,New Delhi,1967,
01,series,ND69T1-3,3,1B,Facing the crisis with a new mind and heart,audio,232,New Delhi,1969,
01,series,BO69T1-4,4,1B,A different dimension of mind,audio,329,Bombay (Mumbai),1969,
01,series,MA69T1-4,7,1B,D1-3 Conditioning exists only when the mind is asleep,audio,537,Madras (Chennai),6970,
01,series,ND70T1-5,5,1B,Can a conditioned mind totally change?,audio,403,New Delhi,1970,
01,series,MA71T1-3,5,1B,D1-2 In complete attention there is no time,audio,370,Madras (Chennai),1971,
01,series,BA71T1-2,2,1B,Bangalore Talks,audio,194,Bangalore,1971,
01,series,BO71T1-4,4,1B,To learn about oneself one has to learn anew each minute,audio,342,Bombay (Mumbai),1971,
01,series,ND72T1-4,4,1B,There is no freedom without knowing yourself totally,audio,346,New Delhi,1972,
01,series,RA72T1-2,2,1B,Beliefs dissipate energy,audio,167,Rajghat,1972,
01,series,MA72T1-4,6,1B,D1-2 Can the mind be free of its content?,audio,484,Madras (Chennai),1972,
01,series,BA73T1-3,3,1B,"Truth is a living thing with no place, abode or time",audio,247,Bangalore,1973,
