pdf_order,series_code,series_title,mega_group,episodes,sections,year_from,year_to
0,LO61T1-12,The mind must be totally empty to see something new,01,12,1A,1961,1961
12,LO65D1-6,"To live in the present, time must come to an end",01,6,1A,1965,1965
18,LO69T1-4,"Without freedom from the known, the possible cannot be captured",01,4,1A,1969,1969
22,BR69T1-4,D1-2 Understanding ourselves,01,6,1A,1969,1969
28,BR70T1-4,D1-2 Is there an observation without the ‘me’ as the observer?,01,6,1A,1970,1970
34,BR71T1-4,D1-2 Meditation is the total release of energy,01,6,1A,1971,1971
40,BR72T1-4,D1-2 Can there be complete freedom from thought?,01,6,1A,1972,1972
46,BR73T1-4,D1-2 What relationship has the human mind to the timeless?,01,6,1A,1973,1973
52,BR74T1-4,D1-2 Religion is the gathering of our total energy,01,6,1A,1974,1974
58,BR75T1-4,D1-2 What is correct action in a disintegrating world?,01,6,1A,1975,1975
64,BR76T1-4,"D1-2 Can a human being undergo a deep, radical transformation?",01,6,1A,1976,1976
70,BR77T1-4,D1-2 There is an ending to sorrow when there is no ‘me’,01,6,1A,1977,1977
76,BR78T1-4,D1-2 The movement of desire,01,6,1A,1978,1978
82,BR79T1-4,Q1-2 On being conditioned,01,6,1A,1979,1979
88,BR80T1-4,Q1-2 Why does the mind live in time?,01,6,1A,1980,1980
94,BR81T1-4,Q1-2 Our consciousness is the common ground on which all,01,6,1A,1981,1981
100,LO82T1-2,"London Talks, 1982",01,2,1A,1982,1982
102,BR82T1-4,Q1-2 A different kind of intelligence,01,6,1A,1982,1982
108,BR83T1-4,Q1-2 The world of peace,01,6,1A,1983,1983
114,BR84T1-4,Q1-2 The ending of sorrow,01,6,1A,1984,1984
120,BR85T1-4,Q1-2 Facing a world in crisis,01,6,1A,1985,1985
126,MA61T7-8,Death and the religious mind,01,2,1B,1961,1961
128,ND62T1-8,D1-2 A complete revolution of the mind,01,9,1B,1962,1962
137,ND66T1-4,A total revolution of the mind,01,4,1B,1966,1966
141,ND67T1-5,To find out what love is one must die to the past,01,5,1B,1967,1967
146,ND69T1-3,Facing the crisis with a new mind and heart,01,3,1B,1969,1969
150,BO69T1-4,A different dimension of mind,01,4,1B,1969,1969
154,MA69T1-4,D1-3 Conditioning exists only when the mind is asleep,01,7,1B,6970,6970
160,ND70T1-5,Can a conditioned mind totally change?,01,5,1B,1970,1970
166,MA71T1-3,D1-2 In complete attention there is no time,01,5,1B,1971,1971
171,BA71T1-2,Bangalore Talks,01,2,1B,1971,1971
173,BO71T1-4,To learn about oneself one has to learn anew each minute,01,4,1B,1971,1971
177,ND72T1-4,There is no freedom without knowing yourself totally,01,4,1B,1972,1972
181,RA72T1-2,Beliefs dissipate energy,01,2,1B,1972,1972
183,MA72T1-4,D1-2 Can the mind be free of its content?,01,6,1B,1972,1972
189,BA73T1-3,"Truth is a living thing with no place, abode or time",01,3,1B,1973,1973
192,ND73T1-4,The quality of energy that will transform man,01,4,1B,1973,1973
196,MA73T1-4,D1-3 An energy that will transform the human mind,01,7,1B,1973,1973
203,BA74T1-4,"Living, love and death are one movement",01,4,1B,1974,1974
207,BO74T1-4,Can the mind regenerate itself?,01,4,1B,1974,1974
211,RA74T1-2,A different energy that comes with meditation,01,2,1B,1974,1974
213,MA74T1-4,D1-2 Relationship is challenge and response,01,6,1B,1974,1974
219,RA76T1-2,D1-2 Can you live without images?,01,4,1B,1976,1976
223,MA76T1-6,D1-2 Truth comes when there is total order,01,8,1B,1976,1976
