code,section_code,section_title,title,media_type,duration_minutes,place_code,place_name,event_date,year,event_type,event_type_label,event_number,media_kind,series_code,series_title,future_path,obsidian_path,notes
BR69D1,1A,Public Meetings (England),How am I to become extraordinarily alert?,audio,78,BR,Brockwood Park,9 September 1969,1969,D,Public Discussion,1,discussion,BR69T1-4,D1-2 Understanding ourselves,library/1A-public-meetings-england/BR69T1-4/BR69D1 - How am I to become extraordinarily alert.m4a,01 - Public meetings.md#BR69T1-4,
BR69D2,1A,Public Meetings (England),Can I live completely without resistance?,audio,83,BR,Brockwood Park,11 September 1969,1969,D,Public Discussion,2,discussion,BR69T1-4,D1-2 Understanding ourselves,library/1A-public-meetings-england/BR69T1-4/BR69D2 - Can I live completely without resistance.m4a,01 - Public meetings.md#BR69T1-4,
BR69T1,1A,Public Meetings (England),Living without resistance,audio,59,BR,Brockwood Park,6 September 1969,1969,T,Public Talk,1,talk,BR69T1-4,D1-2 Understanding ourselves,library/1A-public-meetings-england/BR69T1-4/BR69T1 - Living without resistance.m4a,01 - Public meetings.md#BR69T1-4,
BR69T2,1A,Public Meetings (England),Why are we not completely aware of the psychological dangers in which we live?,audio,70,BR,Brockwood Park,7 September 1969,1969,T,Public Talk,2,talk,BR69T1-4,D1-2 Understanding ourselves,library/1A-public-meetings-england/BR69T1-4/BR69T2 - Why are we not completely aware of the psychological dangers in which we live.m4a,01 - Public meetings.md#BR69T1-4,
BR69T3,1A,Public Meetings (England),Knowing what love is,audio,71,BR,Brockwood Park,13 September 1969,1969,T,Public Talk,3,talk,BR69T1-4,D1-2 Understanding ourselves,library/1A-public-meetings-england/BR69T1-4/BR69T3 - Knowing what love is.m4a,01 - Public meetings.md#BR69T1-4,
BR69T4,1A,Public Meetings (England),Meditation is the beginning of understanding oneself,audio,85,BR,Brockwood Park,14 September 1969,1969,T,Public Talk,4,talk,BR69T1-4,D1-2 Understanding ourselves,library/1A-public-meetings-england/BR69T1-4/BR69T4 - Meditation is the beginning of understanding oneself.m4a,01 - Public meetings.md#BR69T1-4,
BR70D1,1A,Public Meetings (England),If one is conforming there is no freedom,audio,75,BR,Brockwood Park,8 September 1970,1970,D,Public Discussion,1,discussion,BR70T1-4,D1-2 Is there an observation without the ‘me’ as the observer?,library/1A-public-meetings-england/BR70T1-4/BR70D1 - If one is conforming there is no freedom.m4a,01 - Public meetings.md#BR70T1-4,
BR70D2,1A,Public Meetings (England),Maturity is freedom from conditioning,audio,84,BR,Brockwood Park,10 September 1970,1970,D,Public Discussion,2,discussion,BR70T1-4,D1-2 Is there an observation without the ‘me’ as the observer?,library/1A-public-meetings-england/BR70T1-4/BR70D2 - Maturity is freedom from conditioning.m4a,01 - Public meetings.md#BR70T1-4,
BR70T1,1A,Public Meetings (England),Observing without the ‘me’,audio,98,BR,Brockwood Park,5 September 1970,1970,T,Public Talk,1,talk,BR70T1-4,D1-2 Is there an observation without the ‘me’ as the observer?,library/1A-public-meetings-england/BR70T1-4/BR70T1 - Observing without the ‘me’.m4a,01 - Public meetings.md#BR70T1-4,
BR70T2,1A,Public Meetings (England),Can one live without psychological effort?,audio,78,BR,Brockwood Park,6 September 1970,1970,T,Public Talk,2,talk,BR70T1-4,D1-2 Is there an observation without the ‘me’ as the observer?,library/1A-public-meetings-england/BR70T1-4/BR70T2 - Can one live without psychological effort.m4a,01 - Public meetings.md#BR70T1-4,
BR70T3,1A,Public Meetings (England),Does a free mind choose?,audio,71,BR,Brockwood Park,12 September 1970,1970,T,Public Talk,3,talk,BR70T1-4,D1-2 Is there an observation without the ‘me’ as the observer?,library/1A-public-meetings-england/BR70T1-4/BR70T3 - Does a free mind choose.m4a,01 - Public meetings.md#BR70T1-4,
BR70T4,1A,Public Meetings (England),Acting without ideas,audio,66,BR,Brockwood Park,13 September 1970,1970,T,Public Talk,4,talk,BR70T1-4,D1-2 Is there an observation without the ‘me’ as the observer?,library/1A-public-meetings-england/BR70T1-4/BR70T4 - Acting without ideas.m4a,01 - Public meetings.md#BR70T1-4,
BR71D1,1A,Public Meetings (England),Can I live a harmonious life?,audio,82,BR,Brockwood Park,7 September 1971,1971,D,Public Discussion,1,discussion,BR71T1-4,D1-2 Meditation is the total release of energy,library/1A-public-meetings-england/BR71T1-4/BR71D1 - Can I live a harmonious life.m4a,01 - Public meetings.md#BR71T1-4,
BR71D2,1A,Public Meetings (England),Can habit end without decision or choice?,audio,76,BR,Brockwood Park,9 September 1971,1971,D,Public Discussion,2,discussion,BR71T1-4,D1-2 Meditation is the total release of energy,library/1A-public-meetings-england/BR71T1-4/BR71D2 - Can habit end without decision or choice.m4a,01 - Public meetings.md#BR71T1-4,
