event_type,items,segments,passages,qa_failures,collapsed,word_total,duration_total,word_k,word_q,word_ann,word_unk,duration_k,duration_q,duration_ann,duration_unk,word_pct_k,duration_pct_k,word_pct_q,duration_pct_q,word_pct_ann,duration_pct_ann,word_pct_unk,duration_pct_unk
CA,20,3914,3941,0,0,116854,68940.701,69876,705,3264,0,44700.34478702687,466.96444444444444,1414.117,0.0,59.79769627055985,64.83883125445281,0.603316959624831,0.6773421762050903,2.793229157752409,2.051207747365377,0.0,0.0
CAN,7,2919,2921,0,0,43341,23260.413000000015,26761,33,583,0,16635.934518537026,21.501000000000317,288.76,0.0,61.745229690131744,71.52037463194233,0.076140375164394,0.09243601994513298,1.3451466279042938,1.2414224975283106,0.0,0.0
CB,29,16068,16084,0,0,269342,144680.723,134942,1273,313,0,91365.1081684427,664.711765123763,218.70000000000005,0.0,50.10061557425132,63.149468895343226,0.47263330635400347,0.45943353844296386,0.11620913188437006,0.15116042791685527,0.0,0.0
CBS,5,2463,2473,0,0,47699,28895.250000000015,27695,8,250,0,18883.138015567787,3.3100000000004,137.39,0.0,58.06201387869767,65.35031887790477,0.01677184008050483,0.011455169967383562,0.5241200025157761,0.47547607305699,0.0,0.0
CCTR,1,56,66,0,0,2942,2243.9000000000005,2673,22,0,0,2097.768630952381,23.632857142857347,0.0,0.0,90.85656016315431,93.4876166920264,0.7477906186267845,1.0532045609366434,0.0,0.0,0.0,0.0
CDS,1,306,306,0,0,5995,3470.83,4159,15,98,0,2606.86641006216,8.152857142857101,59.57,0.0,69.3744787322769,75.10786786048754,0.25020850708924103,0.23489646980281667,1.634695579649708,1.7163041693197305,0.0,0.0
CES,2,518,518,0,0,13405,6576.430000000004,6533,262,134,0,3699.4761643079164,109.80750000000046,59.910000000000004,0.0,48.73554643789631,56.2535625606585,1.9544945915703096,1.6697128989436578,0.999627004848937,0.9109805776082155,0.0,0.0
CHS,1,302,302,0,0,7012,3581.8800000000037,4670,9,0,0,2580.3503030303054,5.1599999999998545,0.0,0.0,66.6001140901312,72.03899357405336,0.12835139760410724,0.14405842741799973,0.0,0.0,0.0,0.0
CIM,2,558,558,0,0,12059,5474.650000000002,5092,5,0,0,2548.6801075036083,3.7799999999999727,0.0,0.0,42.22572352599718,46.55421090852579,0.04146280786134837,0.06904550975861418,0.0,0.0,0.0,0.0
CJLD,3,431,432,0,0,13618,9352.169999999998,8349,66,409,0,6594.481015873016,22.800000000000225,246.33,0.0,61.30856219709209,70.51284371298873,0.48465266558966075,0.2437936863850874,3.003377882214716,2.6339341564578067,0.0,0.0
CJN,2,460,461,0,0,10787,7023.620000000001,7783,0,169,0,5167.510999999999,0.0,86.24,0.0,72.1516640400482,73.57332828370552,0.0,0.0,1.5667006581996847,1.2278568601376496,0.0,0.0
CJS,1,259,259,0,0,6944,3706.359999999995,4032,28,9,0,2322.262742368739,12.88000000000011,2.7600000000000016,0.0,58.064516129032256,62.65615704812112,0.4032258064516129,0.3475107652791452,0.12960829493087558,0.07446659255981625,0.0,0.0
CMZ,3,62,81,0,0,6956,5020.379999999999,6312,0,134,0,4713.204285714285,0.0,59.010000000000005,0.0,90.74180563542265,93.88142502588023,0.0,0.0,1.9263944795859689,1.1754090327823794,0.0,0.0
CNM,4,1349,1351,0,0,27331,12947.080000000005,13509,74,1008,0,7851.306672272178,46.00999999999996,520.71,0.0,49.42739014306099,60.64152436126273,0.27075482053346017,0.35536970498367154,3.6881197175368627,4.021833494502234,0.0,0.0
CPA,1,236,237,0,0,5666,3699.7799999999997,3629,110,0,0,2482.4296089466084,93.382,0.0,0.0,64.04871161313096,67.09668166611551,1.941404871161313,2.5239879127948153,0.0,0.0,0.0,0.0
CPJ,8,2820,2829,0,0,50685,33186.31800000001,32952,1237,188,0,22387.467339263516,905.8932424242423,164.1,0.0,65.01331754957089,67.45993134659744,2.440564269507744,2.7297190439272057,0.37091841767781397,0.4944808881780738,0.0,0.0
CRE,1,410,410,0,0,8417,4815.239999999997,4599,3,0,0,3233.5109847652325,2.1599999999998545,0.0,0.0,54.63942022098135,67.15160583408583,0.035642152786028274,0.04485757719241109,0.0,0.0,0.0,0.0
CTM,8,3336,3336,0,0,50240,23923.11700000001,22264,1011,0,0,12899.366659326794,444.23,0.0,0.0,44.31528662420382,53.92009184809316,2.0123407643312103,1.8569068570788658,0.0,0.0,0.0,0.0
