code,title,catalog_media,year,place,source,link_kind,url,video_id,remote_title,remote_format,match_score
LO61T1,What is the mind?,audio,1961,London,kft_pdf_youtube,primary,https://youtu.be/qABduBARkVM,qABduBARkVM,Audio | J. Krishnamurti – London 1961 – Public Talk 1 – What is the mind?,audio,1.0
LO61T2,What is thinking?,audio,1961,London,kft_pdf_youtube,primary,https://youtu.be/r0eIRGJ1gXI,r0eIRGJ1gXI,Audio | J. Krishnamurti – London 1961 – Public Talk 2 – What is thinking?,audio,1.0
LO61T3,Can the mind experience without leaving a residue as memory?,audio,1961,London,kft_pdf_youtube,primary,https://youtu.be/X5y8NaqtRpk,X5y8NaqtRpk,Audio | J. Krishnamurti – London 1961 – Public Talk 3 – Can the mind experience without leaving...,audio,1.0
LO61T4,Why has the mind to be occupied?,audio,1961,London,kft_pdf_youtube,primary,https://youtu.be/64wiVBPBJ-U,64wiVBPBJ-U,Audio | J. Krishnamurti – London 1961 – Public Talk 4 – Why has the mind to be occupied?,audio,1.0
LO61T5,Can the mind free itself from fear?,audio,1961,London,kft_pdf_youtube,primary,https://youtu.be/W-moDx3OmXU,W-moDx3OmXU,Audio | J. Krishnamurti – London 1961 – Public Talk 5 – Can the mind free itself from fear?,audio,1.0
LO61T6,Can the mind wipe away entirely the conditioning of centuries?,audio,1961,London,kft_pdf_youtube,primary,https://youtu.be/260PAc-z-uo,260PAc-z-uo,Audio | J. Krishnamurti – London 1961 – Public Talk 6 – Can the mind wipe away entirely the...,audio,1.0
LO61T7,What significance has desire?,audio,1961,London,kft_pdf_youtube,primary,https://youtu.be/T4x39NdF8Us,T4x39NdF8Us,Audio | J. Krishnamurti – London 1961 – Public Talk 7 – What significance has desire?,audio,1.0
LO61T8,Can the mind be free from conflict?,audio,1961,London,kft_pdf_youtube,primary,https://youtu.be/x4Bt4_cB36Q,x4Bt4_cB36Q,Audio | J. Krishnamurti – London 1961 – Public Talk 8 – Can the mind be free from conflict?,audio,1.0
LO61T9,Time and death,audio,1961,London,kft_pdf_youtube,primary,https://youtu.be/dgWsTMRcEWg,dgWsTMRcEWg,Audio | J. Krishnamurti – London 1961 – Public Talk 9 – Time and death,audio,1.0
LO61T10,What is the quality of the mind that is capable of meditation?,audio,1961,London,kft_pdf_youtube,primary,https://youtu.be/PWi633S29Lk,PWi633S29Lk,Audio | J. Krishnamurti – London 1961 – Public Talk 10 – What is the quality of the mind that is...,audio,1.0
